Row,Duration,Pulse,Maxpulse,Calories,math score,reading score,writing score,total_score,result
85.5,60.0,110,130,409.1,75,80,70,225,Pass
2.0,63.86904761904762,117,145,479.0,75,80,70,225,Pass
3.0,60.0,103,135,340.0,75,80,70,225,Pass
4.0,45.0,109,175,282.4,75,80,70,225,Pass
5.0,45.0,117,148,406.0,75,80,70,225,Pass
6.0,60.0,102,127,300.0,75,80,70,225,Pass
7.0,60.0,110,136,374.0,75,80,70,225,Pass
8.0,45.0,104,134,253.3,75,80,70,225,Pass
9.0,30.0,109,133,195.1,75,80,70,225,Pass
10.0,60.0,98,124,269.0,75,80,70,225,Pass
11.0,60.0,103,147,329.3,75,80,70,225,Pass
12.0,60.0,100,120,250.7,75,80,70,225,Pass
13.0,60.0,106,128,345.3,75,80,70,225,Pass
14.0,60.0,104,132,379.3,75,80,70,225,Pass
15.0,60.0,98,123,275.0,75,80,70,225,Pass
16.0,60.0,98,120,215.2,75,80,70,225,Pass
17.0,60.0,100,120,300.0,75,80,70,225,Pass
18.0,45.0,90,112,375.79024390243904,75,80,70,225,Pass
19.0,60.0,103,123,323.0,75,80,70,225,Pass
20.0,45.0,97,125,243.0,75,80,70,225,Pass
21.0,60.0,108,131,364.2,75,80,70,225,Pass
22.0,45.0,100,119,282.0,75,80,70,225,Pass
23.0,60.0,130,101,300.0,75,80,70,225,Pass
24.0,45.0,105,132,246.0,75,80,70,225,Pass
25.0,60.0,102,126,334.5,75,80,70,225,Pass
26.0,60.0,100,120,250.0,75,80,70,225,Pass
27.0,60.0,92,118,241.0,75,80,70,225,Pass
28.0,60.0,103,132,375.79024390243904,75,80,70,225,Pass
29.0,60.0,100,132,280.0,75,80,70,225,Pass
30.0,60.0,102,129,380.3,75,80,70,225,Pass
31.0,60.0,92,115,243.0,75,80,70,225,Pass
32.0,45.0,90,112,180.1,75,80,70,225,Pass
33.0,60.0,101,124,299.0,75,80,70,225,Pass
34.0,60.0,93,113,223.0,75,80,70,225,Pass
35.0,60.0,107,136,361.0,75,80,70,225,Pass
36.0,60.0,114,140,415.0,75,80,70,225,Pass
37.0,60.0,102,127,300.0,75,80,70,225,Pass
38.0,60.0,100,120,300.0,75,80,70,225,Pass
39.0,60.0,100,120,300.0,75,80,70,225,Pass
40.0,45.0,104,129,266.0,75,80,70,225,Pass
41.0,45.0,90,112,180.1,75,80,70,225,Pass
42.0,60.0,98,126,286.0,75,80,70,225,Pass
43.0,60.0,100,122,329.4,75,80,70,225,Pass
44.0,60.0,111,138,400.0,75,80,70,225,Pass
45.0,60.0,111,131,397.0,75,80,70,225,Pass
46.0,60.0,99,119,273.0,75,80,70,225,Pass
47.0,60.0,109,153,387.6,75,80,70,225,Pass
48.0,45.0,111,136,300.0,75,80,70,225,Pass
49.0,45.0,108,129,298.0,75,80,70,225,Pass
50.0,60.0,111,139,397.6,75,80,70,225,Pass
51.0,60.0,107,136,380.2,75,80,70,225,Pass
52.0,80.0,123,146,643.1,75,80,70,225,Pass
53.0,60.0,106,130,263.0,75,80,70,225,Pass
54.0,60.0,118,151,486.0,75,80,70,225,Pass
55.0,30.0,136,175,238.0,75,80,70,225,Pass
56.0,60.0,121,146,450.7,75,80,70,225,Pass
57.0,60.0,118,121,413.0,75,80,70,225,Pass
58.0,45.0,115,144,305.0,75,80,70,225,Pass
59.0,20.0,153,172,226.4,75,80,70,225,Pass
60.0,45.0,123,152,321.0,75,80,70,225,Pass
61.0,210.0,108,160,1376.0,75,80,70,225,Pass
62.0,160.0,110,137,1034.4,75,80,70,225,Pass
63.0,160.0,109,135,853.0,75,80,70,225,Pass
64.0,45.0,118,141,341.0,75,80,70,225,Pass
65.0,20.0,110,130,131.4,75,80,70,225,Pass
66.0,180.0,90,130,800.4,75,80,70,225,Pass
67.0,150.0,105,135,873.4,75,80,70,225,Pass
68.0,150.0,107,130,816.0,75,80,70,225,Pass
69.0,20.0,106,136,110.4,75,80,70,225,Pass
70.0,300.0,108,143,1500.2,75,80,70,225,Pass
71.0,150.0,97,129,1115.0,75,80,70,225,Pass
72.0,60.0,109,153,387.6,75,80,70,225,Pass
73.0,90.0,100,127,700.0,75,80,70,225,Pass
74.0,150.0,97,127,953.2,75,80,70,225,Pass
75.0,45.0,114,146,304.0,75,80,70,225,Pass
76.0,90.0,98,125,563.2,75,80,70,225,Pass
77.0,45.0,105,134,251.0,75,80,70,225,Pass
78.0,45.0,110,141,300.0,75,80,70,225,Pass
79.0,120.0,100,130,500.4,75,80,70,225,Pass
80.0,270.0,100,131,1729.0,75,80,70,225,Pass
81.0,30.0,159,182,319.2,75,80,70,225,Pass
82.0,45.0,149,169,344.0,75,80,70,225,Pass
83.0,30.0,103,139,151.1,75,80,70,225,Pass
84.0,120.0,100,130,500.0,75,80,70,225,Pass
85.0,45.0,100,120,225.3,75,80,70,225,Pass
86.0,30.0,151,170,300.0,75,80,70,225,Pass
87.0,45.0,102,136,234.0,75,80,70,225,Pass
88.0,120.0,100,157,1000.1,75,80,70,225,Pass
89.0,45.0,129,103,242.0,75,80,70,225,Pass
90.0,20.0,83,107,50.3,75,80,70,225,Pass
91.0,180.0,101,127,600.1,75,80,70,225,Pass
92.0,45.0,107,137,375.79024390243904,75,80,70,225,Pass
93.0,30.0,90,107,105.3,75,80,70,225,Pass
94.0,15.0,80,100,50.5,75,80,70,225,Pass
95.0,20.0,150,171,127.4,75,80,70,225,Pass
96.0,20.0,151,168,229.4,75,80,70,225,Pass
97.0,30.0,95,128,128.2,75,80,70,225,Pass
98.0,25.0,152,168,244.2,75,80,70,225,Pass
99.0,30.0,109,131,188.2,75,80,70,225,Pass
100.0,90.0,93,124,604.1,75,80,70,225,Pass
101.0,20.0,95,112,77.7,75,80,70,225,Pass
102.0,90.0,90,110,500.0,75,80,70,225,Pass
103.0,90.0,90,100,500.0,75,80,70,225,Pass
104.0,90.0,90,100,500.4,75,80,70,225,Pass
105.0,30.0,92,108,92.7,75,80,70,225,Pass
106.0,30.0,93,128,124.0,75,80,70,225,Pass
107.0,180.0,90,120,800.3,75,80,70,225,Pass
108.0,30.0,90,120,86.2,75,80,70,225,Pass
109.0,90.0,90,120,500.3,75,80,70,225,Pass
110.0,210.0,137,184,1860.4,75,80,70,225,Pass
111.0,60.0,102,124,325.2,75,80,70,225,Pass
112.0,45.0,107,124,275.0,75,80,70,225,Pass
113.0,15.0,124,139,124.2,75,80,70,225,Pass
114.0,45.0,100,120,225.3,75,80,70,225,Pass
115.0,60.0,108,131,367.6,75,80,70,225,Pass
