Row,Duration,Pulse,Maxpulse,Calories,math score
1,60,110,130,409.1,75
2,60,117,145,479.0,75
3,60,103,135,340.0,75
4,45,109,175,282.4,75
5,45,117,148,406.0,75
6,60,102,127,300.0,75
7,60,110,136,374.0,75
8,45,104,134,253.3,75
9,30,109,133,195.1,75
10,60,98,124,269.0,75
11,60,103,147,329.3,75
12,60,100,120,250.7,75
13,60,106,128,345.3,75
14,60,104,132,379.3,75
15,60,98,123,275.0,75
16,60,98,120,215.2,75
17,60,100,120,300.0,75
18,45,90,112,,75
19,60,103,123,323.0,75
20,45,97,125,243.0,75
21,60,108,131,364.2,75
22,45,100,119,282.0,75
23,60,130,101,300.0,75
24,45,105,132,246.0,75
25,60,102,126,334.5,75
26,60,100,120,250.0,75
27,60,92,118,241.0,75
28,60,103,132,,75
29,60,100,132,280.0,75
30,60,102,129,380.3,75
31,60,92,115,243.0,75
32,45,90,112,180.1,75
33,60,101,124,299.0,75
34,60,93,113,223.0,75
35,60,107,136,361.0,75
36,60,114,140,415.0,75
37,60,102,127,300.0,75
38,60,100,120,300.0,75
39,60,100,120,300.0,75
40,45,104,129,266.0,75
41,45,90,112,180.1,75
42,60,98,126,286.0,75
43,60,100,122,329.4,75
44,60,111,138,400.0,75
45,60,111,131,397.0,75
46,60,99,119,273.0,75
47,60,109,153,387.6,75
48,45,111,136,300.0,75
49,45,108,129,298.0,75
50,60,111,139,397.6,75
51,60,107,136,380.2,75
52,80,123,146,643.1,75
53,60,106,130,263.0,75
54,60,118,151,486.0,75
55,30,136,175,238.0,75
56,60,121,146,450.7,75
57,60,118,121,413.0,75
58,45,115,144,305.0,75
59,20,153,172,226.4,75
60,45,123,152,321.0,75
61,210,108,160,1376.0,75
62,160,110,137,1034.4,75
63,160,109,135,853.0,75
64,45,118,141,341.0,75
65,20,110,130,131.4,75
66,180,90,130,800.4,75
67,150,105,135,873.4,75
68,150,107,130,816.0,75
69,20,106,136,110.4,75
70,300,108,143,1500.2,75
71,150,97,129,1115.0,75
72,60,109,153,387.6,75
73,90,100,127,700.0,75
74,150,97,127,953.2,75
75,45,114,146,304.0,75
76,90,98,125,563.2,75
77,45,105,134,251.0,75
78,45,110,141,300.0,75
79,120,100,130,500.4,75
80,270,100,131,1729.0,75
81,30,159,182,319.2,75
82,45,149,169,344.0,75
83,30,103,139,151.1,75
84,120,100,130,500.0,75
85,45,100,120,225.3,75
86,30,151,170,300.0,75
87,45,102,136,234.0,75
88,120,100,157,1000.1,75
89,45,129,103,242.0,75
90,20,83,107,50.3,75
91,180,101,127,600.1,75
92,45,107,137,,75
93,30,90,107,105.3,75
94,15,80,100,50.5,75
95,20,150,171,127.4,75
96,20,151,168,229.4,75
97,30,95,128,128.2,75
98,25,152,168,244.2,75
99,30,109,131,188.2,75
100,90,93,124,604.1,75
101,20,95,112,77.7,75
102,90,90,110,500.0,75
103,90,90,100,500.0,75
104,90,90,100,500.4,75
105,30,92,108,92.7,75
106,30,93,128,124.0,75
107,180,90,120,800.3,75
108,30,90,120,86.2,75
109,90,90,120,500.3,75
110,210,137,184,1860.4,75
111,60,102,124,325.2,75
112,45,107,124,275.0,75
113,15,124,139,124.2,75
114,45,100,120,225.3,75
115,60,108,131,367.6,75
116,60,108,151,351.7,75
117,60,116,141,443.0,75
118,60,97,122,277.4,75
119,60,105,125,,75
120,60,103,124,332.7,75
121,30,112,137,193.9,75
122,45,100,120,100.7,75
123,60,119,169,336.7,75
124,60,107,127,344.9,75
125,60,111,151,368.5,75
126,60,98,122,271.0,75
127,60,97,124,275.3,75
128,60,109,127,382.0,75
129,90,99,125,466.4,75
130,60,114,151,384.0,75
131,60,104,134,342.5,75
132,60,107,138,357.5,75
133,60,103,133,335.0,75
134,60,106,132,327.5,75
135,60,103,136,339.0,75
136,20,136,156,189.0,75
137,45,117,143,317.7,75
138,45,115,137,318.0,75
139,45,113,138,308.0,75
140,20,141,162,222.4,75
141,60,108,135,390.0,75
142,60,97,127,,75
143,45,100,120,250.4,75
144,45,122,149,335.4,75
145,60,136,170,470.2,75
146,45,106,126,270.8,75
147,60,107,136,400.0,75
148,60,112,146,361.9,75
149,30,103,127,185.0,75
150,60,110,150,409.4,75
151,60,106,134,343.0,75
152,60,109,129,353.2,75
153,60,109,138,374.0,75
154,30,150,167,275.8,75
155,60,105,128,328.0,75
156,60,111,151,368.5,75
157,60,97,131,270.4,75
158,60,100,120,270.4,75
159,60,114,150,382.8,75
160,30,80,120,240.9,75
161,30,85,120,250.4,75
162,45,90,130,260.4,75
163,45,95,130,270.0,75
164,45,100,140,280.9,75
165,60,105,140,290.8,75
166,60,110,145,300.0,75
167,60,115,145,310.2,75
168,75,120,150,320.4,75
169,75,125,150,330.4,75
